original_id,name,lat,lon,layer,type,node_id
4514                                              ,Cristo Rey                                                                                                                                                                                              ,40.4402582,-3.7166546,bus,stop,1
4022                                              ,Junta Municipal Moncloa                                                                                                                                                                                 ,40.4376245,-3.7171454,bus,stop,2
3687                                              ,Moncloa                                                                                                                                                                                                 ,40.4359239,-3.716809,bus,stop,3
737                                               ,Altamirano                                                                                                                                                                                              ,40.4339902,-3.7162815,bus,stop,4
735                                               ,Argüelles                                                                                                                                                                                               ,40.4319363,-3.7147978,bus,stop,5
193                                               ,Princesa-Rey Francisco                                                                                                                                                                                  ,40.4297747,-3.7132541,bus,stop,6
173                                               ,Ventura Rodríguez                                                                                                                                                                                       ,40.4278464,-3.7118545,bus,stop,7
741                                               ,Plaza de España                                                                                                                                                                                         ,40.4264877,-3.7108528,bus,stop,8
171                                               ,Gran Vía-Plaza de España                                                                                                                                                                                ,40.4248354,-3.7092411,bus,stop,9
169                                               ,Santo Domingo                                                                                                                                                                                           ,40.4229262,-3.7061797,bus,stop,10
723                                               ,Gran Vía-Callao                                                                                                                                                                                         ,40.4219545,-3.7030167,bus,stop,11
724                                               ,Gran Vía-Montera                                                                                                                                                                                        ,40.4217848,-3.6998056,bus,stop,12
5138                                              ,Gran Vía-Pedro Zerolo                                                                                                                                                                                   ,40.4213988,-3.6980773,bus,stop,13
164                                               ,Gran Vía-Alcalá                                                                                                                                                                                         ,40.4207455,-3.6958711,bus,stop,14
70                                                ,Cibeles                                                                                                                                                                                                 ,40.4209393,-3.6920981,bus,stop,15
162                                               ,Puerta de Alcalá-Retiro                                                                                                                                                                                 ,40.4214833,-3.6869844,bus,stop,16
423                                               ,Velázquez-Villanueva                                                                                                                                                                                    ,40.4239938,-3.6829327,bus,stop,17
424                                               ,Velázquez-Goya                                                                                                                                                                                          ,40.4267156,-3.682748,bus,stop,18
425                                               ,Velázquez-Ayala                                                                                                                                                                                         ,40.4294377,-3.6825162,bus,stop,19
426                                               ,Velázquez-Ortega y Gasset                                                                                                                                                                               ,40.4319079,-3.6822346,bus,stop,20
731                                               ,Marqués de Salamanca                                                                                                                                                                                    ,40.4319159,-3.6793345,bus,stop,21
729                                               ,Lista                                                                                                                                                                                                   ,40.4317089,-3.6746873,bus,stop,22
727                                               ,Parque Eva Duarte                                                                                                                                                                                       ,40.4314817,-3.6696052,bus,stop,23
726                                               ,Cartagena-Francisco Silvela                                                                                                                                                                             ,40.4329211,-3.6691818,bus,stop,24
2304                                              ,Plaza San Cayetano                                                                                                                                                                                      ,40.4362828,-3.6689557,bus,stop,25
721                                               ,Cartagena-Béjar                                                                                                                                                                                         ,40.4391074,-3.6696794,bus,stop,26
717                                               ,Cartagena                                                                                                                                                                                               ,40.4414793,-3.6723556,bus,stop,27
715                                               ,Cartagena-López de Hoyos                                                                                                                                                                                ,40.444396,-3.6742717,bus,stop,28
745                                               ,Auditorio Nacional                                                                                                                                                                                      ,40.4467697,-3.6750855,bus,stop,29
273                                               ,Prosperidad                                                                                                                                                                                             ,40.4455845,-3.6736203,bus,stop,30
