stop_id;stop_name;bus_line;stop_lon;stop_lat;transport_mode
4514                                              ;Cristo Rey                                                                                                                                                                                              ;1                                                 ;-3.7166546;40.4402582;bus                 
4022                                              ;Junta Municipal Moncloa                                                                                                                                                                                 ;1                                                 ;-3.7171454;40.4376245;bus                 
3687                                              ;Moncloa                                                                                                                                                                                                 ;1                                                 ;-3.716809;40.4359239;bus                 
737                                               ;Altamirano                                                                                                                                                                                              ;1                                                 ;-3.7162815;40.4339902;bus                 
735                                               ;Argüelles                                                                                                                                                                                               ;1                                                 ;-3.7147978;40.4319363;bus                 
193                                               ;Princesa-Rey Francisco                                                                                                                                                                                  ;1                                                 ;-3.7132541;40.4297747;bus                 
173                                               ;Ventura Rodríguez                                                                                                                                                                                       ;1                                                 ;-3.7118545;40.4278464;bus                 
741                                               ;Plaza de España                                                                                                                                                                                         ;1                                                 ;-3.7108528;40.4264877;bus                 
171                                               ;Gran Vía-Plaza de España                                                                                                                                                                                ;1                                                 ;-3.7092411;40.4248354;bus                 
169                                               ;Santo Domingo                                                                                                                                                                                           ;1                                                 ;-3.7061797;40.4229262;bus                 
723                                               ;Gran Vía-Callao                                                                                                                                                                                         ;1                                                 ;-3.7030167;40.4219545;bus                 
724                                               ;Gran Vía-Montera                                                                                                                                                                                        ;1                                                 ;-3.6998056;40.4217848;bus                 
5138                                              ;Gran Vía-Pedro Zerolo                                                                                                                                                                                   ;1                                                 ;-3.6980773;40.4213988;bus                 
164                                               ;Gran Vía-Alcalá                                                                                                                                                                                         ;1                                                 ;-3.6958711;40.4207455;bus                 
70                                                ;Cibeles                                                                                                                                                                                                 ;1                                                 ;-3.6920981;40.4209393;bus                 
162                                               ;Puerta de Alcalá-Retiro                                                                                                                                                                                 ;1                                                 ;-3.6869844;40.4214833;bus                 
423                                               ;Velázquez-Villanueva                                                                                                                                                                                    ;1                                                 ;-3.6829327;40.4239938;bus                 
424                                               ;Velázquez-Goya                                                                                                                                                                                          ;1                                                 ;-3.682748;40.4267156;bus                 
425                                               ;Velázquez-Ayala                                                                                                                                                                                         ;1                                                 ;-3.6825162;40.4294377;bus                 
426                                               ;Velázquez-Ortega y Gasset                                                                                                                                                                               ;1                                                 ;-3.6822346;40.4319079;bus                 
731                                               ;Marqués de Salamanca                                                                                                                                                                                    ;1                                                 ;-3.6793345;40.4319159;bus                 
729                                               ;Lista                                                                                                                                                                                                   ;1                                                 ;-3.6746873;40.4317089;bus                 
727                                               ;Parque Eva Duarte                                                                                                                                                                                       ;1                                                 ;-3.6696052;40.4314817;bus                 
726                                               ;Cartagena-Francisco Silvela                                                                                                                                                                             ;1                                                 ;-3.6691818;40.4329211;bus                 
2304                                              ;Plaza San Cayetano                                                                                                                                                                                      ;1                                                 ;-3.6689557;40.4362828;bus                 
721                                               ;Cartagena-Béjar                                                                                                                                                                                         ;1                                                 ;-3.6696794;40.4391074;bus                 
717                                               ;Cartagena                                                                                                                                                                                               ;1                                                 ;-3.6723556;40.4414793;bus                 
715                                               ;Cartagena-López de Hoyos                                                                                                                                                                                ;1                                                 ;-3.6742717;40.444396;bus                 
